fantasyPlayerId,name,team,position,matchId,rating,minutesPlayed,goals,assists,yellowCard,redCard,cleanSheet,goalsConceded,penaltyWon,penaltyScored,penaltyMissed,penaltyCommitted,penaltySaved,longBalls,totalClearances,blockedShots,interceptions,wonTackles,duelsWon,duelsTotal,wasFouled,passesCompleted,passesTotal,keyPass,dispossessed,offsides,dribblesWon,dribblesTotal,savedShotsInside,savedShotsOutside,runsOut,punches
88909,Florian Grillitsch,Austria,M,15186747,6.7,45,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,37,39,0,0,0,0,0,0,0,0,0
88852,Tomáš Chorý,Czechia,F,15186732,6.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
88196,Dominik Livaković,Croatia,G,15186624,6.4,90,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,1,1,1,15,21,0,0,0,0,0,0,0,0,0
88197,Mario Pašalić,Croatia,M,15186624,6.7,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,11,0,0,0,0,1,0,0,0,0
89190,Mike Maignan,France,G,15186537,7.5,90,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,14,21,0,0,0,0,0,2,1,1,0
89150,Jalal Hassan,Iraq,G,15186771,6.9,45,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13,0,0,0,0,0,5,1,0,0
88360,Max Crocombe,New Zealand,G,15186822,5.4,90,0,0,0,0,0,5,0,0,0,0,0,4,2,0,0,0,0,0,0,21,28,0,0,0,0,0,3,2,0,0
88062,Nuno Da Costa,Cabo Verde,F,15186803,7.3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,5,6,1,1,0,1,1,0,0,0,0
89113,Sadio Mané,Senegal,M,15186771,7,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,2,31,43,4,2,0,0,3,0,0,0,0
88126,Gustavo Gómez,Paraguay,D,15186891,7.1,90,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,2,4,6,0,43,49,0,0,0,0,0,0,0,0,0
89103,Juan Fernando Quintero,Colombia,M,15186696,6.8,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0
88302,Shoja Khalilzadeh,Iran,D,15186828,6.6,90,0,0,1,0,0,1,0,0,0,0,0,5,10,2,1,0,1,4,0,47,59,0,0,1,0,0,0,0,0,0
