name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Youssef Belammari,Y. Belammari,D,Morocco,4,0,0,0.3,0
Marwan Attia,M. Attia,M,Egypt,5,0,0,0.1,0
Facundo Medina,F. Medina,D,Argentina,4.5,8,8,0.2,0
Felix Nmecha,F. Nmecha,M,Germany,5.5,13,13,0.7,0
José María Giménez,J. M. Giménez,D,Uruguay,5.5,0,0,1.6,0
Lionel Mpasi Nzau,L. Mpasi Nzau,G,DR Congo,4.5,0,0,0.2,0
Ritsu Doan,R. Doan,M,Japan,6,1,1,1.1,0
Oston Urunov,O. Urunov,M,Uzbekistan,4,0,0,0.2,0
Breel Embolo,B. Embolo,F,Switzerland,6,9,9,2.3,0
Yerry Mina,Y. Mina,D,Colombia,4.5,0,0,0.8,0
Samir Sophian Chergui,S. S. Chergui,D,Algeria,4.5,0,0,0,0
Nestory Irankunda,N. Irankunda,M,Australia,5,8,8,0.2,0
Joel Ordóñez,J. Ordóñez,D,Ecuador,5,5,5,0.5,0
Andrés Gómez,A. Gómez,M,Colombia,4.5,0,0,0.2,0
Ousmane Diomande,O. Diomande,D,Côte d'Ivoire,5,0,0,0.6,0
Álvaro Fidalgo,Á. Fidalgo,M,Mexico,5.5,4,4,0.9,0
Omar Alderete,O. Alderete,D,Paraguay,5,1,1,0.4,0
Pathé Ismaël Ciss,P. I. Ciss,M,Senegal,5.5,1,1,0.4,0
Evann Guessand,E. Guessand,F,Côte d'Ivoire,5.5,0,0,0.8,0
Duke Lacroix,D. Lacroix,D,Haiti,4,0,0,0.2,0
Jefferson Lerma,J. Lerma,M,Colombia,5.5,0,0,0.6,0
Johan Vásquez,J. Vásquez,D,Mexico,5,8,8,1.8,0
Vozinha,Vozinha,G,Cabo Verde,4.5,13,13,0.1,0
Nikola Vlašić,N. Vlašić,M,Croatia,5,0,0,0.2,0
Tarik Muharemović,T. Muharemović,D,Bosnia & Herzegovina,5,8,8,0.8,0
Ao Tanaka,A. Tanaka,M,Japan,5.5,0,0,0.6,0
Brian Gutiérrez,B. Gutiérrez,M,Mexico,5,2,2,0.7,0
Ayoube Amaimouni Echghouyab,A. Amaimouni Echghouyab,F,Morocco,5,1,1,0.1,0
Dodi Lukebakio,D. Lukebakio,M,Belgium,6,0,0,1,0
Dean Henderson,D. Henderson,G,England,4.5,0,0,0.4,0
Maximilian Beier,M. Beier,F,Germany,5,0,0,0.3,0
Dan Ndoye,D. Ndoye,M,Switzerland,5,3,3,1,0
Mohamed Hany,M. Hany,D,Egypt,5,1,1,0.2,0
Gonçalo Guedes,G. Guedes,F,Portugal,5.5,0,0,0.9,0
Lucas Digne,L. Digne,D,France,5,0,0,0.4,0
Borja Iglesias,B. Iglesias,F,Spain,5,0,0,0.4,0
Joris Kayembe,Kayembe,D,DR Congo,4,0,0,0.2,0
César Huerta,C. Huerta,M,Mexico,4.5,0,0,0.1,0
Giovanni Reyna,G. Reyna,M,USA,5.5,7,7,0.5,0
Zakaria El Ouahdi,Z. E. Ouahdi,D,Morocco,4.5,0,0,0.1,0
Nilson Angulo,N. Angulo,M,Ecuador,5.5,0,0,0.4,0
Junya Ito,J. Ito,M,Japan,5,3,3,0.5,0
Fredrik Aursnes,F. Aursnes,M,Norway,5,3,3,0.3,0
John McGinn,J. McGinn,M,Scotland,6,10,10,1.7,0
Ardon Jashari,A. Jashari,M,Switzerland,5,0,0,0.1,0
Samú Costa,S. Costa,M,Portugal,5.5,0,0,0.5,0
Félix Torres,F. Torres,D,Ecuador,4.5,0,0,0.2,0
Woodensky Pierre,W. Pierre,M,Haiti,4,0,0,0.1,0
Mike Penders,M. Penders,G,Belgium,4,0,0,0.2,0
Bart Verbruggen,B. Verbruggen,G,Netherlands,5.5,1,1,2.2,0
David Ospina,D. Ospina,G,Colombia,4,0,0,1.2,0
Promise David,P. David,F,Canada,4.5,3,3,0.2,0
Djed Spence,D. Spence,D,England,4.5,0,0,0.4,0
John Yeboah,J. Yeboah,M,Ecuador,5.5,2,2,0.4,0
Abdoulaye Seck,A. Seck,D,Senegal,4,0,0,0.3,0
Martin Expérience,M. Expérience,D,Haiti,4,5,5,0.1,0
Elye Wahi,E. Wahi,F,Côte d'Ivoire,4,0,0,1.5,0
Kwasi Sibo,K. Sibo,M,Ghana,5,0,0,0.1,0
Marc Pubill,Pubill,D,Spain,5,0,0,0.5,0
Alexis Vega,A. Vega,M,Mexico,5.5,0,0,0.6,0
Bazoumana Touré,B. Touré,M,Côte d'Ivoire,4.5,0,0,0.2,0
Brian Cipenga,B. Cipenga,F,DR Congo,4.5,0,0,0.1,0
Julian Ryerson,J. Ryerson,D,Norway,5,4,4,1.7,0
Yassin Fortune,Y. Fortune,F,Haiti,4,1,1,0.1,0
Jean-Kévin Duverne,J. Duverne,D,Haiti,4,0,0,0.1,0
Ellyes Skhiri,E. Skhiri,M,Tunisia,5,1,1,0.1,0
Kieran Tierney,K. Tierney,D,Scotland,4.5,0,0,0.5,0
José Sá,J. Sá,G,Portugal,4.5,0,0,0.5,0
Aymen Hussein,A. Hussein,F,Iraq,4,5,5,0.5,0
Pascal Groß,P. Groß,M,Germany,5.5,0,0,0.5,0
Dan Burn,D. Burn,D,England,4.5,0,0,0.4,0
Jhon Lucumí,J. Lucumí,D,Colombia,5,0,0,0.3,0
Jae-sung Lee,J. Lee,M,South Korea,4.5,4,4,0.1,0
Mohamed Tougai,M. Tougai,D,Algeria,4,0,0,0.1,0
Keito Nakamura,K. Nakamura,M,Japan,5,10,10,0.3,0
Maximiliano Araújo,M. Araújo,M,Uruguay,5.5,10,10,0.7,0
Daizen Maeda,D. Maeda,F,Japan,6,1,1,1.4,0
Yasin Ayari,Y. Ayari,M,Sweden,5.5,16,16,0.4,0
Emmanuel Agbadou,E. Agbadou,D,Côte d'Ivoire,4.5,11,11,0.2,0
Amir Murillo,A. Murillo,D,Panama,4,0,0,0.4,0
Maxim De Cuyper,M. De Cuyper,D,Belgium,5,0,0,0.8,0
Khalil Ayari,K. Ayari,F,Tunisia,4,0,0,0.2,0
Sead Kolašinac,S. Kolašinac,D,Bosnia & Herzegovina,4.5,12,12,0.3,0
Yasser Ibrahim,Y. Ibrahim,D,Egypt,4.5,3,3,0.2,0
Dylan Batubinsika,D. Batubinsika,D,DR Congo,4,0,0,0,0
Johan Manzambi,J. Manzambi,M,Switzerland,6,0,0,1.2,0
Thelo Aasgaard,T. Aasgaard,M,Norway,4.5,0,0,0.2,0
Ali Abdi,A. Abdi,D,Tunisia,4.5,-2,-2,0.2,0
Eren Elmalı,E. Elmalı,D,Türkiye,4.5,0,0,0.1,0
Merih Demiral,M. Demiral,D,Türkiye,5,3,3,0.7,0
Nathaniel Brown,N. Brown,D,Germany,5,15,15,0.5,0
Deniz Gül,D. Gül,F,Türkiye,5,0,0,0.2,0
Derrick Etienne,D. Etienne,F,Haiti,4,0,0,0.1,0
Gedeon Kalulu,G. Kalulu,D,DR Congo,4,0,0,0.3,0
Rodrigo Zalazar,R. Zalazar,F,Uruguay,5.5,0,0,0.7,0
Elias Saad,E. Saad,M,Tunisia,4,2,2,0.3,0
Marco Pašalić,M. Pašalić,M,Croatia,5,0,0,0.5,0
Ricardo Pepi,R. Pepi,F,USA,5.5,0,0,0.8,0
Josip Šutalo,J. Šutalo,D,Croatia,5,0,0,0.2,0
Kaan Ayhan,K. Ayhan,D,Türkiye,4,0,0,0.3,0
Edo Kayembe,E. Kayembe,M,DR Congo,4.5,0,0,0,0
Emiliano Martínez,E. Martínez,M,Uruguay,4.5,0,0,0.2,0
Çağlar Söyüncü,Ç. Söyüncü,D,Türkiye,4.5,0,0,0.3,0
Jan Paul van Hecke,J. P. van Hecke,D,Netherlands,5.5,5,5,1.9,0
Youssef Amyn,Y. Amyn,M,Iraq,4,0,0,0.1,0
Munir El Kajoui,M. El Kajoui,G,Morocco,4,0,0,0.1,0
Johan Mojica,J. Mojica,D,Colombia,4.5,0,0,0.8,0
Benjamin Asare,B. Asare,G,Ghana,4,0,0,0.3,0
Igor Matanović,I. Matanović,F,Croatia,5.5,0,0,0.7,0
Rui Silva,R. Silva,G,Portugal,4,0,0,0.4,0
Mert Günok,M. Günok,G,Türkiye,4,0,0,0.2,0
Mory Diaw,M. Diaw,G,Senegal,4,0,0,0.1,0
Firas Chaouat,F. Chaouat,F,Tunisia,4.5,0,0,0.1,0
Pavel Šulc,P. Šulc,M,Czechia,5.5,3,3,0.5,0
Paul Wanner,P. Wanner,M,Austria,5,1,1,0.1,0
Merchas Doski,M. Doski,D,Iraq,4,3,3,0.1,0
Mohanad Ali,M. Ali,F,Iraq,4,1,1,0.1,0
İrfan Can Kahveci,İ. C. Kahveci,M,Türkiye,4.5,0,0,0.1,0
Caleb Yirenkyi,C. Yirenkyi,M,Ghana,4.5,0,0,0.2,0
Matthieu Epolo,M. Epolo,G,DR Congo,4,0,0,0.2,0
Roberto Alvarado,R. Alvarado,M,Mexico,5.5,9,9,0.5,0
Brandon Thomas-Asante,B. Thomas-Asante,F,Ghana,4.5,0,0,0.1,0
Oswin Appollis,O. Appollis,M,South Africa,4.5,1,1,0.2,0
Zineddine Belaid,Z. Belaid,D,Algeria,4,0,0,0.2,0
Che Adams,C. Adams,F,Scotland,5,2,2,0.5,0
