name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Gabriel Martinelli,G. Martinelli,F,Brazil,7.5,2,2,0.6,1
Cédric Bakambu,C. Bakambu,F,DR Congo,4.5,2,1,0.6,1
Hamza Abdelkarim,H. Abdelkarim,F,Egypt,4,2,1,2.4,1
Richard Ríos,R. Ríos,M,Colombia,6,2,1,2.1,1
Wilson Isidor,W. Isidor,F,Haiti,4.5,2,1,0.6,1
Mikel Merino,M. Merino,M,Spain,6,2,1,2.1,1
Theo Hernández,T. Hernández,D,France,6,2,2,8.9,1
Kalidou Koulibaly,K. Koulibaly,D,Senegal,5,2,1,2.6,1
Luiz Henrique,L. Henrique,M,Brazil,6,2,2,2,1
Kerem Aktürkoğlu,K. Aktürkoğlu,F,Türkiye,6,2,1,1.6,1
John Stones,J. Stones,D,England,5,2,2,1.9,1
Soufiane Rahimi,S. Rahimi,F,Morocco,5,2,1,0.5,1
Oscar Bobb,O. Bobb,M,Norway,5.5,2,1,1,1
Noah Sadiki,N. Sadiki,M,DR Congo,5,2,1,0.4,1
El Hadji Malick Diouf,E. H. M. Diouf,M,Senegal,4,2,1,3.4,1
Barış Alper Yılmaz,B. A. Yılmaz,M,Türkiye,5.5,2,1,1.2,1
Chemsdine Talbi,C. Talbi,M,Morocco,4.5,2,1,0.4,1
Patrik Schick,P. Schick,F,Czechia,7,2,1,0.7,1
Leon Goretzka,L. Goretzka,M,Germany,6,2,1,2.1,1
Ange-Yoan Bonny,A. Bonny,F,Côte d'Ivoire,5,2,1,0.5,1
Andreas Schjelderup,A. Schjelderup,F,Norway,5,2,1,0.7,1
Konrad Laimer,K. Laimer,D,Austria,5.5,2,1,3,1
Yunus Akgün,Y. Akgün,M,Türkiye,5,2,1,0.2,1
Victor Lindelöf,V. Lindelöf,D,Sweden,5,2,1,0.6,1
Nélson Semedo,N. Semedo,D,Portugal,5,2,1,0.5,1
Quinten Timber,Q. Timber,M,Netherlands,4.5,2,2,0.8,1
Andrej Kramarić,A. Kramarić,M,Croatia,6.5,2,1,0.3,1
Amar Dedić,A. Dedić,D,Bosnia & Herzegovina,5,2,1,0.7,1
Nathanaël Mbuku,N. Mbuku,F,DR Congo,4.5,2,2,0.1,1
Hwang Hee-chan,H. Hee-chan,F,South Korea,5.5,2,1,0.8,1
Dailon Rocha Livramento,D. R. Livramento,F,Cabo Verde,4.5,2,2,0.1,1
Tomás Araújo,T. Araújo,D,Portugal,4.5,2,2,0.3,1
Ellyes Skhiri,E. Skhiri,M,Tunisia,5,2,1,0.1,1
Elias Saad,E. Saad,M,Tunisia,4,2,1,0.3,1
